order	reading	surface1	surface2	surface3	surface4	source_id	update_no	update_date	improved
1	いみぐれ	イミグレ				ATOK-00754	22	2024/12/05	イミグレ
1	いんかめ	インカメ				ATOK-00997	17	2024/07/04	インカメ
1	いんせる	インセル				ATOK-01571	7	2023/08/03	インセル
1	いんばうんどん	インバウン丼				ATOK-00755	22	2024/12/05	インバウン丼
1	いんらい	インライ				ATOK-01947	1	2023/02/01	インライ
1	うぉーかぶるな	ウォーカブルな				ATOK-00948	18	2024/08/06	ウォーカブルな
1	えらぐさん	エラグ酸				ATOK-00657	24	2025/03/06	エラグ酸
1	えんぱわめんとを	エンパワメントを				ATOK-00759	22	2024/12/05	エンパワメントを
1	おおおにばす	オオオニバス				ATOK-00205	33	2025/12/04	オオオニバス、大鬼蓮、おおおにばす
1	おおぶたくさ	オオブタクサ				ATOK-01386	10	2023/11/07	オオブタクサ
1	おくるーじょん	オクルージョン				ATOK-01000	17	2024/07/04	オクルージョン
1	おにかさご	オニカサゴ				ATOK-00106	35	2026/03/05	オニカサゴ、鬼笠子
1	おふぇりあ	オフェリア				ATOK-01825	3	2023/04/06	オフェリア
1	おぷてぃまいずど	オプティマイズド				ATOK-00206	33	2025/12/04	オプティマイズド
1	おるかん	オルカン				ATOK-00898	19	2024/09/05	オルカン
1	かいゆぼっと	カイユボット				ATOK-00763	22	2024/12/05	カイユボット
1	かわぼ	カワボ				ATOK-00664	24	2025/03/06	カワボ
1	かーぐとう	カーグ島				ATOK-00002	37	2026/05/12	カーグ島
1	かーりんこん	カーリンコン				ATOK-00606	25	2025/04/08	カーリンコン
1	がばくら	ガバクラ				ATOK-01051	16	2024/06/06	ガバクラ
1	きすくら	キスクラ				ATOK-00070	36	2026/04/09	キスクラ
1	きゃぱい	キャパい				ATOK-00211	33	2025/12/04	キャパい
1	ぎょにそ	ギョニソ				ATOK-00362	30	2025/09/04	ギョニソ
1	くるんじ	クルンジ				ATOK-00768	22	2024/12/05	クルンジ
1	くーいんぐ	クーイング				ATOK-00265	32	2025/11/06	クーイング
1	くーでれ	クーデレ				ATOK-00767	22	2024/12/05	クーデレ
1	ぐるきゃん	グルキャン				ATOK-01960	1	2023/02/01	グルキャン
1	けさでぃーや	ケサディーヤ				ATOK-00561	26	2025/05/08	ケサディーヤ
1	けとじぇにっく	ケトジェニック				ATOK-01009	17	2024/07/04	ケトジェニック
1	けんねるこふ	ケンネルコフ				ATOK-00311	31	2025/10/07	ケンネルコフ
1	けーすま	ケースマ				ATOK-00074	36	2026/04/09	ケースマ
1	こあじさい	コアジサイ				ATOK-00421	29	2025/08/05	コアジサイ、小紫陽花、こあじさい
1	こりれーしょん	コリレーション				ATOK-01282	12	2024/02/01	コリレーション
1	こーいけるほんでぃえ	コーイケルホンディエ				ATOK-01280	12	2024/02/01	コーイケルホンディエ
1	さかばんばすぴす	サカバンバスピス				ATOK-01283	12	2024/02/01	サカバンバスピス
1	さなえのみくす	サナエノミクス				ATOK-00271	32	2025/11/06	サナエノミクス
1	さぶくえ	サブクエ				ATOK-01780	4	2023/05/09	サブクエ
1	さりめん	サリ麺				ATOK-01224	13	2024/03/07	サリ麺
1	さたび	サ旅				ATOK-01968	1	2023/02/01	サ旅
1	ざくろす	ザクロ酢				ATOK-00860	20	2024/10/08	ザクロ酢
1	しすかん	シス管				ATOK-01286	12	2024/02/01	シス管
1	しるかつ	シル活				ATOK-00121	35	2026/03/05	シル活
1	じおつーりずむ	ジオツーリズム				ATOK-00779	22	2024/12/05	ジオツーリズム
1	じぴる	ジピる				ATOK-00122	35	2026/03/05	ジピる
1	すくりゅーふれーしょん	スクリューフレーション				ATOK-01404	10	2023/11/07	スクリューフレーション
1	すたっしゅ	スタッシュ				ATOK-00179	34	2026/02/02	スタッシュ
1	すなどら	スナドラ				ATOK-00921	19	2024/09/05	スナドラ
1	すぱかつ	スパカツ				ATOK-00323	31	2025/10/07	スパカツ
1	すぴかつ	スピ活				ATOK-00035	37	2026/05/12	スピ活
1	すぽせん	スポセン				ATOK-00973	18	2024/08/06	スポセン
1	すぽはら	スポハラ				ATOK-00324	31	2025/10/07	スポハラ
1	すれっず	スレッズ				ATOK-01597	7	2023/08/03	スレッズ、Threads
1	ずきゅーん	ズキューン				ATOK-01648	6	2023/07/04	ズキューン
1	せらちあきん	セラチア菌				ATOK-00781	22	2024/12/05	セラチア菌
1	だいじぇすてぃぶ	ダイジェスティブ				ATOK-01470	9	2023/10/10	ダイジェスティブ
1	ださてぃー	ダサT				ATOK-00534	27	2025/06/05	ダサT
1	ちるする	チルする				ATOK-00537	27	2025/06/05	チルする
1	でこれる	デコれる				ATOK-01417	10	2023/11/07	デコれる
1	でじたらいず	デジタライズ				ATOK-01736	5	2023/06/06	デジタライズ
1	でじたらいぜーしょん	デジタライゼーション				ATOK-01994	1	2023/02/01	デジタライゼーション
1	でじえ	デジ絵				ATOK-00685	24	2025/03/06	デジ絵
1	とらうたに	トラウタニ				ATOK-01739	5	2023/06/06	トラウタニ
1	とりぷるでみっく	トリプルデミック				ATOK-00729	23	2025/02/03	トリプルデミック
1	とるめんた	トルメンタ				ATOK-00689	24	2025/03/06	トルメンタ
1	とれかん	トレ缶				ATOK-01609	7	2023/08/03	トレ缶
1	どたさん	ドタ参				ATOK-01027	17	2024/07/04	ドタ参
1	ぬんかつ	ヌン活				ATOK-02006	1	2023/02/01	ヌン活
1	ねばとろ	ネバトロ				ATOK-01424	10	2023/11/07	ネバトロ
1	のんでり	ノンデリ				ATOK-00187	34	2026/02/02	ノンデリ
1	はいじーん	ハイジーン				ATOK-01427	10	2023/11/07	ハイジーン
1	はろこす	ハロコス				ATOK-00791	22	2024/12/05	ハロコス
1	はんぐった	ハングった				ATOK-00639	25	2025/04/08	ハングった
1	ばくらば	バクラバ				ATOK-00440	29	2025/08/05	バクラバ
1	ぱっかぶる	パッカブル				ATOK-00641	25	2025/04/08	パッカブル
1	ぱのらみっく	パノラミック				ATOK-01307	12	2024/02/01	パノラミック
1	ぱふぉーみんぐ	パフォーミング				ATOK-00545	27	2025/06/05	パフォーミング
1	ぱぶくら	パブクラ				ATOK-00441	29	2025/08/05	パブクラ
1	ひばごん	ヒバゴン				ATOK-00442	29	2025/08/05	ヒバゴン
1	ひれんじゃく	ヒレンジャク				ATOK-00338	31	2025/10/07	ヒレンジャク、緋連雀
1	ひーてっど	ヒーテッド				ATOK-00585	26	2025/05/08	ヒーテッド
1	びびんめん	ビビン麺				ATOK-01128	15	2024/05/09	ビビン麺
1	ぴんしゃ	ピン写				ATOK-00190	34	2026/02/02	ピン写
1	ふぃくとせくしゅある	フィクトセクシュアル				ATOK-01432	10	2023/11/07	フィクトセクシュアル
1	ふぇるらさん	フェルラ酸				ATOK-00587	26	2025/05/08	フェルラ酸
1	ふぉのいこらいざー	フォノイコライザー				ATOK-01616	7	2023/08/03	フォノイコライザー
1	ふるすく	フルスク				ATOK-01808	4	2023/05/09	フルスク
1	ふるどうが	フル動画				ATOK-00936	19	2024/09/05	フル動画
1	ふーでり	フーデリ				ATOK-00091	36	2026/04/09	フーデリ
1	ぶいろぐ	ブイログ				ATOK-00340	31	2025/10/07	ブイログ
1	ぷりっきーぬ	プリッキーヌ				ATOK-00796	22	2024/12/05	プリッキーヌ
1	ぷりき	プリ機				ATOK-01254	13	2024/03/07	プリ機
1	へるべちか	ヘルベチカ				ATOK-01746	5	2023/06/06	ヘルベチカ
1	べたうち	ベタ打ち				ATOK-01874	3	2023/04/06	ベタ打ち
1	べたおき	ベタ置き				ATOK-00987	18	2024/08/06	ベタ置き
1	べったにまん	ベッタニマン				ATOK-01130	15	2024/05/09	ベッタニマン
1	ほいっぱー	ホイッパー				ATOK-00446	29	2025/08/05	ホイッパー
1	ほかんす	ホカンス				ATOK-00242	33	2025/12/04	ホカンス
1	ほわはら	ホワハラ				ATOK-00645	25	2025/04/08	ホワハラ
1	ぼいちぇん	ボイチェン				ATOK-00593	26	2025/05/08	ボイチェン
1	ぼいれこ	ボイレコ				ATOK-00243	33	2025/12/04	ボイレコ
1	ぼんぼろーに	ボンボローニ				ATOK-02022	1	2023/02/01	ボンボローニ
1	まいはーしす	マイハーシス				ATOK-02023	1	2023/02/01	マイハーシス、My HER-SYS
1	まうんたー	マウンター				ATOK-01749	5	2023/06/06	マウンター
1	まきべりー	マキベリー				ATOK-00296	32	2025/11/06	マキベリー
1	まだっくす	マダックス				ATOK-00887	20	2024/10/08	マダックス
1	まるはら	マルハラ				ATOK-01198	14	2024/04/09	マルハラ
1	みこのすとう	ミコノス島				ATOK-00194	34	2026/02/02	ミコノス島
1	むらさきつめくさ	ムラサキツメクサ				ATOK-01621	7	2023/08/03	ムラサキツメクサ、紫詰草、むらさきつめくさ
1	めんてぃー	メンティー				ATOK-01255	13	2024/03/07	メンティー
1	もぺっど	モペッド				ATOK-00744	23	2025/02/03	モペッド
1	らすてぃっく	ラスティック				ATOK-01687	6	2023/07/04	ラスティック
1	りけーぶる	リケーブル				ATOK-01498	9	2023/10/10	リケーブル
1	りしぇいぷ	リシェイプ				ATOK-01624	7	2023/08/03	リシェイプ
1	りまっぴんぐ	リマッピング				ATOK-01142	15	2024/05/09	リマッピング
1	りまにゅふぁくちゃりんぐ	リマニュファクチャリング				ATOK-00450	29	2025/08/05	リマニュファクチャリング
1	れかねまぶ	レカネマブ				ATOK-02030	1	2023/02/01	レカネマブ
1	じょうはいぶ	上背部				ATOK-01288	12	2024/02/01	上背部
1	かしひん	下賜品				ATOK-00305	31	2025/10/07	下賜品
1	かかいそう	下階層				ATOK-01575	7	2023/08/03	下階層
1	りょうもち	両持ち				ATOK-00199	34	2026/02/02	両持ち
1	なかばき	中履き				ATOK-00882	20	2024/10/08	中履き
1	ちゅうぼうえん	中望遠				ATOK-01118	15	2024/05/09	中望遠
1	まるこげ	丸焦げ				ATOK-01036	17	2024/07/04	丸焦げ
1	たんごじ	丹後路				ATOK-00328	31	2025/10/07	丹後路
1	ぶつれき	仏暦				ATOK-01433	10	2023/11/07	仏暦
1	だいむしゃ	代務者				ATOK-01349	11	2023/12/07	代務者
1	かりぎめする	仮決め				ATOK-01702	5	2023/06/06	仮決め
1	にんめいしょう	任命証				ATOK-00136	35	2026/03/05	任命証
1	ていかんど	低感度				ATOK-00925	19	2024/09/05	低感度
1	なんぱー	何パー				ATOK-01481	9	2023/10/10	何パー
1	うまずたゆまず	倦まず撓まず				ATOK-00202	33	2025/12/04	倦まず撓まず
1	さいかう	催花雨				ATOK-01106	15	2024/05/09	催花雨
1	けいちょうりょく	傾聴力				ATOK-01637	6	2023/07/04	傾聴力
1	めんせききん	免責金				ATOK-00145	35	2026/03/05	免責金
1	じはつかん	児発管				ATOK-01177	14	2024/04/09	児発管
1	にゅうしょくび	入職日				ATOK-00787	22	2024/12/05	入職日
1	ぜんけし	全消し				ATOK-01598	7	2023/08/03	全消し
1	はっぽうよけ	八方除け				ATOK-00137	35	2026/03/05	八方除け
1	ともそだて	共育て				ATOK-00133	35	2026/03/05	共育て
1	きょうきご	共起語				ATOK-01834	3	2023/04/06	共起語
1	ひょうろうがん	兵糧丸				ATOK-00290	32	2025/11/06	兵糧丸
1	けんむしゃ	兼務者				ATOK-00115	35	2026/03/05	兼務者
1	ないないじ	内々示				ATOK-00980	18	2024/08/06	内々示
1	さいさいどの	再々度の				ATOK-00621	25	2025/04/08	再々度の
1	さいどうき	再同期				ATOK-01064	16	2024/06/06	再同期
1	さいはんてん	再販店				ATOK-01222	13	2024/03/07	再販店
1	だしわける	出し分ける				ATOK-01473	9	2023/10/10	出し分ける
1	でぶそくきん	出不足金				ATOK-00287	32	2025/11/06	出不足金
1	しゅっけつぼ	出欠簿				ATOK-01592	7	2023/08/03	出欠簿
1	ぶあつめに	分厚めに				ATOK-00339	31	2025/10/07	分厚めに
1	ぶんとんち	分屯地				ATOK-01364	11	2023/12/07	分屯地
1	かりそろえた	刈りそろえた				ATOK-00004	37	2026/05/12	刈りそろえた
1	はつうち	初打ち				ATOK-01252	13	2024/03/07	初打ち
1	はつがらみ	初絡み				ATOK-01613	7	2023/08/03	初絡み
1	しょけんじ	初見時				ATOK-01721	5	2023/06/06	初見時
1	べっぱん	別班				ATOK-01367	11	2023/12/07	別班
1	ふくさんひん	副産品				ATOK-02016	1	2023/02/01	副産品
1	かげんさん	加減算				ATOK-01827	3	2023/04/06	加減算
1	かさんち	加算値				ATOK-00152	34	2026/02/02	加算値
1	どうせんず	動線図				ATOK-00929	19	2024/09/05	動線図
1	くみんさい	区民祭				ATOK-00267	32	2025/11/06	区民祭
1	とくりゅう	匿流				ATOK-00928	19	2024/09/05	匿流
1	ひれつかん	卑劣漢				ATOK-00142	35	2026/03/05	卑劣漢
1	そつだんせい	卒団生				ATOK-00682	24	2025/03/06	卒団生
1	そつぶしき	卒部式				ATOK-00084	36	2026/04/09	卒部式
1	たんほうこう	単方向				ATOK-01654	6	2023/07/04	単方向
1	たんがんきょう	単眼鏡				ATOK-01732	5	2023/06/06	単眼鏡
1	そくぎめ	即決め				ATOK-01348	11	2023/12/07	即決め
1	そくへんする	即返する				ATOK-00326	31	2025/10/07	即返する
1	そうわんの	双腕の				ATOK-00083	36	2026/04/09	双腕の
1	しゅすいち	取水地				ATOK-01015	17	2024/07/04	取水地
1	じゅえんりょく	受援力				ATOK-00376	30	2025/09/04	受援力
1	あいもり	合い盛り				ATOK-01044	16	2024/06/06	合い盛り
1	どうもんかい	同門会				ATOK-00186	34	2026/02/02	同門会
1	としゅつぶ	吐出部				ATOK-01663	6	2023/07/04	吐出部
1	めいれいちょうで	命令調で				ATOK-00889	20	2024/10/08	命令調で
1	あえだま	和え玉				ATOK-00749	22	2024/12/05	和え玉
1	しとだる	四斗樽				ATOK-00568	26	2025/05/08	四斗樽
1	こくほうでん	国宝殿				ATOK-00618	25	2025/04/08	国宝殿
1	こくそうぎ	国葬儀				ATOK-01963	1	2023/02/01	国葬儀
1	えんだより	園だより				ATOK-00758	22	2024/12/05	園だより
1	ちばんず	地番図				ATOK-01296	12	2024/02/01	地番図
1	ぼうのみさき	坊ノ岬				ATOK-02021	1	2023/02/01	坊ノ岬
1	しったつ	執達				ATOK-01716	5	2023/06/06	執達
1	きかんしょく	基幹職				ATOK-00612	25	2025/04/08	基幹職
1	ぬったくって	塗ったくって				ATOK-00580	26	2025/05/08	塗ったくって
1	ぬりたし	塗り足し				ATOK-01422	10	2023/11/07	塗り足し
1	こえだしてくれる	声出してくれる				ATOK-00270	32	2025/11/06	声出してくれる
1	そとぼし	外干し				ATOK-01412	10	2023/11/07	外干し
1	おおすべりだった	大滑りだった				ATOK-00605	25	2025/04/08	大滑りだった
1	おおおにばす	大鬼蓮				ATOK-00205	33	2025/12/04	オオオニバス、大鬼蓮、おおおにばす
1	てんしんどん	天津丼				ATOK-02001	1	2023/02/01	天津丼
1	てんしんめん	天津麺				ATOK-00784	22	2024/12/05	天津麺
1	しっせいしょう	失声症				ATOK-00861	20	2024/10/08	失声症
1	おくしなの	奥信濃				ATOK-00502	27	2025/06/05	奥信濃
1	がっかんちょう	学環長				ATOK-00154	34	2026/02/02	学環長
1	がくさいせい	学際性				ATOK-01270	12	2024/02/01	学際性
1	かんちょうひん	完調品				ATOK-00358	30	2025/09/04	完調品
1	みやぎきょう	宮城峡				ATOK-01135	15	2024/05/09	宮城峡
1	よせばし	寄せ箸				ATOK-01200	14	2024/04/09	寄せ箸
1	きこうしゅう	寄稿集				ATOK-00360	30	2025/09/04	寄稿集
1	かんもどり	寒戻り				ATOK-00611	25	2025/04/08	寒戻り
1	かんじめ	寒締め				ATOK-01163	14	2024/04/09	寒締め
1	ねたおす	寝倒す				ATOK-01423	10	2023/11/07	寝倒す
1	せんすた	専スタ				ATOK-00529	27	2025/06/05	専スタ
1	せんすれ	専スレ				ATOK-01346	11	2023/12/07	専スレ
1	しょうさんげん	小三元				ATOK-01112	15	2024/05/09	小三元
1	こものよう	小物用				ATOK-01013	17	2024/07/04	小物用
1	こあじさい	小紫陽花				ATOK-00421	29	2025/08/05	コアジサイ、小紫陽花、こあじさい
1	こむつかしい	小難しい				ATOK-01775	4	2023/05/09	小難しい
1	しょうたんほけん	少短保険				ATOK-00177	34	2026/02/02	少短保険
1	きょじゅうかい	居住階				ATOK-01704	5	2023/06/06	居住階
1	いそうろうのみで	居候の身で				ATOK-00653	24	2025/03/06	居候の身で
1	やまんなか	山ん中				ATOK-01139	15	2024/05/09	山ん中
1	さんろくち	山麓地				ATOK-00859	20	2024/10/08	山麓地
1	きしゃくえき	希釈液				ATOK-01216	13	2024/03/07	希釈液
1	きしゃび	帰社日				ATOK-01833	3	2023/04/06	帰社日
1	きしゃじ	帰社時				ATOK-01580	7	2023/08/03	帰社時
1	じょうにっきん	常日勤				ATOK-00032	37	2026/05/12	常日勤
1	じょうおんすい	常温水				ATOK-01231	13	2024/03/07	常温水
1	ひきつよ	引き強				ATOK-00697	24	2025/03/06	引き強
1	ひきうち	引き撃ち				ATOK-01363	11	2023/12/07	引き撃ち
1	じゃくれいしゃ	弱冷車				ATOK-00375	30	2025/09/04	弱冷車
1	こうはいぶ	後背部				ATOK-01710	5	2023/06/06	後背部
1	ごびょうやま	御廟山				ATOK-01105	15	2024/05/09	御廟山
1	びでんりゅう	微電流				ATOK-00386	30	2025/09/04	微電流
1	ひっぱつ	必発				ATOK-00884	20	2024/10/08	必発
1	ぐこうけん	愚行権				ATOK-01275	12	2024/02/01	愚行権
1	けねんてん	懸念点				ATOK-01768	4	2023/05/09	懸念点
1	せいかひん	成果品				ATOK-01234	13	2024/03/07	成果品
1	てばなか	手羽中				ATOK-01997	1	2023/02/01	手羽中
1	だこくじ	打刻時				ATOK-01024	17	2024/07/04	打刻時
1	こうたいち	抗体値				ATOK-01103	15	2024/05/09	抗体値
1	おりでん	折り電				ATOK-00504	27	2025/06/05	折り電
1	ばっこう	抜港				ATOK-01869	3	2023/04/06	抜港
1	おしっぱ	押しっぱ				ATOK-01387	10	2023/11/07	押しっぱ
1	もちもどり	持ち戻り				ATOK-01256	13	2024/03/07	持ち戻り
1	おしづかれ	推し疲れ				ATOK-01207	13	2024/03/07	推し疲れ
1	ほうでい	放デイ				ATOK-01619	7	2023/08/03	放デイ
1	しんころ	新コロ				ATOK-01232	13	2024/03/07	新コロ
1	せりょういん	施療院				ATOK-00572	26	2025/05/08	施療院
1	きはっちゅう	既発注				ATOK-01166	14	2024/04/09	既発注
1	にっしり	日シリ				ATOK-01300	12	2024/02/01	日シリ
1	はやだき	早炊き				ATOK-01670	6	2023/07/04	早炊き
1	はやのみ	早飲み				ATOK-01430	10	2023/11/07	早飲み
1	めいかいしょく	明灰色				ATOK-00144	35	2026/03/05	明灰色
1	いしげきせい	易刺激性				ATOK-01205	13	2024/03/07	易刺激性
1	ちゅうやきん	昼夜勤				ATOK-00633	25	2025/04/08	昼夜勤
1	だんしつりゅう	暖湿流				ATOK-00127	35	2026/03/05	暖湿流
1	あんこくし	暗黒史				ATOK-00402	29	2025/08/05	暗黒史
1	さいあくしゅ	最悪手				ATOK-00775	22	2024/12/05	最悪手
1	げっきゅうぎ	月球儀				ATOK-00419	29	2025/08/05	月球儀
1	あさうな	朝ウナ				ATOK-01565	7	2023/08/03	朝ウナ
1	みしょめい	未署名				ATOK-01492	9	2023/10/10	未署名
1	みかいせん	未開栓				ATOK-01315	12	2024/02/01	未開栓
1	くちゆく	朽ちゆく				ATOK-00615	25	2025/04/08	朽ちゆく
1	らいらいき	来々期				ATOK-01043	17	2024/07/04	来々期
1	こうくがい	校区外				ATOK-00162	34	2026/02/02	校区外
1	うめきゅう	梅きゅう				ATOK-00703	23	2025/02/03	梅きゅう
1	ごんねぎ	権禰宜				ATOK-01221	13	2024/03/07	権禰宜
1	きちゅうはく	機中泊				ATOK-01456	9	2023/10/10	機中泊
1	くしじょう	櫛状				ATOK-01838	3	2023/04/06	櫛状
1	ぶどうぎ	武道着				ATOK-00094	36	2026/04/09	武道着
1	しにけん	死に券				ATOK-00276	32	2025/11/06	死に券
1	ざんきりょう	残気量				ATOK-01846	3	2023/04/06	残気量
1	ざんしょくりつ	残食率				ATOK-00173	34	2026/02/02	残食率
1	さっちゅうとう	殺虫灯				ATOK-00428	29	2025/08/05	殺虫灯
1	きどらなさ	気取らなさ				ATOK-01007	17	2024/07/04	気取らなさ
1	きあつつう	気圧痛				ATOK-00955	18	2024/08/06	気圧痛
1	しるそば	汁そば				ATOK-01595	7	2023/08/03	汁そば
1	おはそん	汚破損				ATOK-01001	17	2024/07/04	汚破損
1	わきあげ	沸き上げ				ATOK-01377	11	2023/12/07	沸き上げ
1	ちゅうがき	注書き				ATOK-00975	18	2024/08/06	注書き
1	ようからし	洋からし				ATOK-01042	17	2024/07/04	洋からし
1	しゃだつかん	洒脱感				ATOK-00022	37	2026/05/12	洒脱感
1	かつどうけい	活動計				ATOK-01762	4	2023/05/09	活動計
1	ながしした	流し下				ATOK-00436	29	2025/08/05	流し下
1	りゅうようせい	流用性				ATOK-02027	1	2023/02/01	流用性
1	りゅうせんず	流線図				ATOK-00148	35	2026/03/05	流線図
1	かいさんひん	海産品				ATOK-00607	25	2025/04/08	海産品
1	かいせんどころ	海鮮処				ATOK-00900	19	2024/09/05	海鮮処
1	すずしげですね	涼しげですね				ATOK-01980	1	2023/02/01	涼しげですね
1	ふかぐつ	深靴				ATOK-00046	37	2026/05/12	深靴
1	とかきょう	渡河橋				ATOK-00228	33	2025/12/04	渡河橋
1	おんぞうこ	温蔵庫				ATOK-01573	7	2023/08/03	温蔵庫
1	こすいよく	湖水浴				ATOK-00314	31	2025/10/07	湖水浴
1	じみぶかい	滋味深い				ATOK-01591	7	2023/08/03	滋味深い
1	そうていぶ	漕艇部				ATOK-00379	30	2025/09/04	漕艇部
1	げきよわだよ	激弱だよ				ATOK-00418	29	2025/08/05	激弱だよ
1	かそうだい	火葬代				ATOK-01829	3	2023/04/06	火葬代
1	むじんしゃ	無人車				ATOK-00096	36	2026/04/09	無人車
1	むそうかん	無双感				ATOK-01038	17	2024/07/04	無双感
1	むこくちで	無告知で				ATOK-00246	33	2025/12/04	無告知で
1	むりくり	無理くり				ATOK-01494	9	2023/10/10	無理くり
1	むきさい	無記載				ATOK-01620	7	2023/08/03	無記載
1	むつうちで	無通知で				ATOK-00989	18	2024/08/06	無通知で
1	せんじがら	煎じ殻				ATOK-01985	1	2023/02/01	煎じ殻
1	くんゆづけ	燻油漬け				ATOK-00073	36	2026/04/09	燻油漬け
1	ばくのび	爆伸び				ATOK-01080	16	2024/06/06	爆伸び
1	ばくやけ	爆焼け				ATOK-00640	25	2025/04/08	爆焼け
1	かたしぐれ	片時雨				ATOK-00852	20	2024/10/08	片時雨
1	ぎゅうにゅうかん	牛乳かん				ATOK-00264	32	2025/11/06	牛乳かん
1	ものたらない	物足らない				ATOK-01685	6	2023/07/04	物足らない
1	さるがくし	猿楽師				ATOK-00170	34	2026/02/02	猿楽師
1	げんそば	玄そば				ATOK-01218	13	2024/03/07	玄そば
1	げんしょくしゃ	現職者				ATOK-01584	7	2023/08/03	現職者
1	げんこうしよう	現行仕様				ATOK-01769	4	2023/05/09	現行仕様
1	りゅうきゅうし	琉球史				ATOK-00250	33	2025/12/04	琉球史
1	りゅうきゅうこ	琉球弧				ATOK-00892	20	2024/10/08	琉球弧
1	せいざんりつ	生残率				ATOK-00036	37	2026/05/12	生残率
1	さんぜんきゅう	産前休				ATOK-00566	26	2025/05/08	産前休
1	ようむち	用務地				ATOK-01372	11	2023/12/07	用務地
1	いげんご	異言語				ATOK-01266	12	2024/02/01	異言語
1	ぎじおん	疑似音				ATOK-00959	18	2024/08/06	疑似音
1	いたいなあ	痛いなあ				ATOK-01945	1	2023/02/01	痛いなあ
1	しろうきする	白浮きする				ATOK-01722	5	2023/06/06	白浮きする
1	ひゃくようず	百様図				ATOK-00385	30	2025/09/04	百様図
1	ちょくりぷ	直リプ				ATOK-01245	13	2024/03/07	直リプ
1	ちょくれいしき	直冷式				ATOK-01606	7	2023/08/03	直冷式
1	じかあて	直当て				ATOK-01173	14	2024/04/09	直当て
1	ちゃくいえい	着衣泳				ATOK-01604	7	2023/08/03	着衣泳
1	たんりゅうしゅ	短粒種				ATOK-00380	30	2025/09/04	短粒種
1	いしじょうばん	石定盤				ATOK-01569	7	2023/08/03	石定盤
1	はかいしん	破壊神				ATOK-01804	4	2023/05/09	破壊神
1	しゃごうひょう	社号標				ATOK-00021	37	2026/05/12	社号標
1	しゃふくし	社福士				ATOK-00079	36	2026/04/09	社福士
1	いなりしん	稲荷神				ATOK-00255	32	2025/11/06	稲荷神
1	あなごてん	穴子天				ATOK-01691	5	2023/06/06	穴子天
1	くうちょくび	空直日				ATOK-00266	32	2025/11/06	空直日
1	りゅうがしどう	竜ヶ岩洞				ATOK-01499	9	2023/10/10	竜ヶ岩洞
1	とうばいそく	等倍速				ATOK-00044	37	2026/05/12	等倍速
1	つつがゆさい	筒粥祭				ATOK-00489	28	2025/07/08	筒粥祭
1	せつぶんえ	節分会				ATOK-01408	10	2023/11/07	節分会
1	こめがし	米菓子				ATOK-00368	30	2025/09/04	米菓子
1	こうちゃば	紅茶葉				ATOK-00164	34	2026/02/02	紅茶葉
1	べにこうじ	紅麹				ATOK-01131	15	2024/05/09	紅麹
1	むらさきつめくさ	紫詰草				ATOK-01621	7	2023/08/03	ムラサキツメクサ、紫詰草、むらさきつめくさ
1	ひれんじゃく	緋連雀				ATOK-00338	31	2025/10/07	ヒレンジャク、緋連雀
1	せんけいず	線形図				ATOK-01116	15	2024/05/09	線形図
1	しゅくかんした	縮環した				ATOK-00176	34	2026/02/02	縮環した
